total_vol,date,price,positive,negative,neutral,total_tweets,bitcoin,litecoin,yearn-finance
47446256482.0,737827,39279.41287,0.08420479744517204,0.0666171631333754,0.8491447944634615,87.0,1,0,0
54494811707.0,737826,38007.83223,0.08157728685301129,0.07580445413186034,0.8425906333510612,139.0,1,0,0
49762137494.0,737825,36816.50808,0.06536213848653463,0.010455200235002357,0.9241754551238319,60.0,1,0,0
50730704377.0,737824,37494.717619999996,0.10201243987485033,0.023837244603582466,0.8741282486090141,80.0,1,0,0
49268860243.0,737823,35485.98593,0.18578589882810656,0.009166778350242967,0.8050505658130908,77.0,1,0,0
42488649643.0,737822,33405.99036,0.13947025236567825,0.035060450590796086,0.8255458733568287,103.0,1,0,0
52001249491.0,737821,33064.78677,0.09737199920574637,0.039088874744296405,0.8635626088721178,86.0,1,0,0
97468515525.0,737820,34199.519810000005,0.05896209375717683,0.04378557134979063,0.8972605549711397,64.0,1,0,0
51075972572.0,737819,34150.81877,0.07924798443462047,0.056870048552234195,0.8639075292611678,165.0,1,0,0
51514291052.0,737818,33128.34753,0.08457896590699042,0.03361751194287492,0.8818104871301377,99.0,1,0,0
48489676580.0,737817,30445.525869999998,0.10479667151371136,0.02241445870435239,0.8727850532701591,61.0,1,0,0
50410553261.0,737816,32582.10945,0.08876661256670308,0.08704203386799148,0.8241704780891362,63.0,1,0,0
42810544126.0,737815,32375.320060000002,0.11678362550574913,0.027688376569487083,0.8555407224066814,66.0,1,0,0
43575409685.0,737814,32273.51735,0.08962491205796234,0.052747606352922576,0.8576417510177077,60.0,1,0,0
69549742252.0,737813,32068.087369999997,0.16342846550604775,0.049491931719614926,0.7870343810020621,48.0,1,0,0
69415314298.0,737812,32957.90878,0.06542712977044714,0.052707851640164394,0.8818600922993953,87.0,1,0,0
58406615612.0,737811,30913.69574,0.10446398926294764,0.1110260639739412,0.7844902181198254,117.0,1,0,0
51736994549.0,737810,35587.4892,0.14056689959258975,0.04693367607054644,0.8124934542702369,71.0,1,0,0
46769030147.0,737809,36104.863860000005,0.12367088059324433,0.06405098709269628,0.8123162678837683,36.0,1,0,0
50749258739.0,737808,36595.46477,0.0734348988880682,0.09595195769430302,0.8305732069989433,49.0,1,0,0
55054325262.0,737807,35804.263889999995,0.07450415786373146,0.0553532633065538,0.8701224263294515,68.0,1,0,0
63450740093.0,737806,36254.71308,0.10840595294667316,0.06950577145442462,0.8221369899408859,71.0,1,0,0
57519444622.0,737805,36787.52122,0.1602928016203913,0.05363235162054104,0.786076962702422,85.0,1,0,0
65278944794.0,737804,39232.74997,0.09386601404036499,0.08527694052044468,0.820799806463443,155.0,1,0,0
68954134557.0,737803,37456.007730000005,0.078176931583717,0.04860189088023341,0.8732124528395336,116.0,1,0,0
112000000000.0,737802,33938.33588,0.17902088962787502,0.02002793755706391,0.8009511728150611,83.0,1,0,0
73381123613.0,737801,35669.906689999996,0.07365507610982121,0.05461044735117554,0.8717385994383224,123.0,1,0,0
55921808672.0,737800,38397.89599,0.11104037458094965,0.09222139587267907,0.7967155811928807,86.0,1,0,0
82846468856.0,737799,40296.529,0.11178293544546539,0.1064720229571618,0.781752301521824,90.0,1,0,0
78642959829.0,737798,40815.96185,0.15171886264927373,0.01839212010104011,0.8298926088507218,107.0,1,0,0
71027195898.0,737797,39547.08408,0.10545463068108119,0.05497168093038675,0.8395113665654425,143.0,1,0,0
67420500716.0,737796,36933.52014,0.1284481569484896,0.04336919405489074,0.8281879726207777,81.0,1,0,0
74657165356.0,737795,34082.20605,0.11058462002408206,0.04045188423679332,0.8489225117720741,102.0,1,0,0
179000000000.0,737794,31515.575969999998,0.11003910595974041,0.05479915922399778,0.8352318469685439,78.0,1,0,0
57273436641.0,737793,33008.2262,0.09215847505177878,0.04189719890778948,0.8660165267979766,74.0,1,0,0
